fold,train_size,test_size,test_batteries,train_accuracy,test_accuracy,train_f1_weighted,test_f1_weighted,test_precision_weighted,test_recall_weighted,overfit_gap_f1,best_params
1,2404,390,6,0.9725457570715474,0.8615384615384616,0.9726648689921247,0.8903790313351378,0.951060435508834,0.8615384615384616,0.08228583765698683,"{'model__criterion': 'entropy', 'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2}"
2,1824,970,9,0.8963815789473685,0.8134020618556701,0.9020312527638044,0.8189072017936007,0.8387017695198307,0.8134020618556701,0.0831240509702037,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
3,2458,336,6,0.9324654190398698,0.9047619047619048,0.9339973232923304,0.9005122357498401,0.9023441489959347,0.9047619047619048,0.033485087542490355,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}"
4,2186,608,6,0.979871912168344,0.8026315789473685,0.9802408361894042,0.7991778291922074,0.8098028082931359,0.8026315789473685,0.1810630069971968,"{'model__criterion': 'entropy', 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
5,2304,490,7,0.9435763888888888,0.8408163265306122,0.9444765779552148,0.836368456986049,0.8538482753373069,0.8408163265306122,0.10810812096916578,"{'model__criterion': 'gini', 'model__max_depth': 7, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}"
